Station Name: DUBLIN (Glasnevin)
Station Height: 18 M 
Latitude:53.370  ,Longitude: -6.270


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2016,0,14.500,0,9.8,0,1.2,-3.2, 
02-jan-2016,0,6.700,0,11.0,0,6.4,5.0, 
03-jan-2016,0,0.200,0,10.8,0,5.7,3.4, 
04-jan-2016,0,18.100,0,10.0,0,3.6,0.4, 
05-jan-2016,0,6.300,0,7.7,0,3.4,-0.3, 
06-jan-2016,0,10.200,0,9.3,0,5.3,3.2, 
07-jan-2016,0,0.600,0,6.6,0,5.1,2.7, 
08-jan-2016,0,2.300,0,7.8,0,3.0,0.4, 
09-jan-2016,0,30.100,0,6.9,0,0.6,-2.1, 
10-jan-2016,0,0.000,0,7.2,0,3.1,1.7, 
11-jan-2016,0,0.100,0,5.7,1,-1.4,-4.8, 
12-jan-2016,4,0.000,0,6.8,0,1.3,0.2, 
13-jan-2016,0,0.700,0,5.9,0,2.1,-3.4, 
14-jan-2016,0,0.500,0,5.4,0,1.1,-1.2, 
15-jan-2016,0,0.000,0,5.4,1,-0.1,-2.1, 
16-jan-2016,0,0.100,0,6.7,1,-1.2,-5.2, 
17-jan-2016,0,2.300,0,8.7,0,1.7,-0.6, 
18-jan-2016,4,0.000,0,7.6,0,4.4,3.1, 
19-jan-2016,0,0.000,0,8.0,0,3.0,-0.1, 
20-jan-2016,0,1.600,0,9.0,0,0.4,-3.1, 
21-jan-2016,0,2.100,0,13.3,0,3.1,0.2, 
22-jan-2016,4,0.000,0,13.1,0,9.0,8.6, 
23-jan-2016,0,0.100,0,14.9,0,6.5,2.8, 
24-jan-2016,0,0.000,0,15.6,0,10.7,9.4, 
25-jan-2016,0,3.100,0,14.0,0,12.1,11.1, 
26-jan-2016,0,9.900,0,14.9,0,8.0,5.5, 
27-jan-2016,0,0.600,0,11.0,0,9.8,7.8, 
28-jan-2016,0,4.700,0,12.4,0,3.6,1.8, 
29-jan-2016,0,0.400,0,10.1,0,6.1,5.0, 
30-jan-2016,0,0.800,0,9.8,0,2.7,1.0, 
31-jan-2016,0,1.100,0,12.7,0,2.8,2.1, 
01-feb-2016,0,1.200,0,12.2,0,9.9,9.2, 
02-feb-2016,0,0.600,0,7.9,0,4.6,2.9, 
03-feb-2016,0,0.300,0,10.8,0,2.4,0.8, 
04-feb-2016,0,0.000,0,11.9,0,5.9,4.2, 
05-feb-2016,0,4.300,0,10.9,0,9.9,8.6, 
06-feb-2016,0,0.700,0,10.8,0,4.5,2.4, 
07-feb-2016,0,5.900,0,9.5,0,3.6,2.1, 
08-feb-2016,0,0.900,0,8.4,0,5.1,3.5, 
09-feb-2016,0,2.700,0,4.7,0,2.6,1.5, 
10-feb-2016,0,0.300,0,8.5,0,1.2,-1.1, 
11-feb-2016,0,0.500,0,8.1,1,-1.5,-4.7, 
12-feb-2016,0,2.700,0,7.3,0,0.6,-4.8, 
13-feb-2016,0,0.800,0,6.9,0,4.9,4.2, 
14-feb-2016,0,0.600,0,7.1,0,3.2,2.0, 
15-feb-2016,0,0.000,0,8.7,0,0.3,-3.4, 
16-feb-2016,0,13.900,0,10.3,0,1.2,-2.7, 
17-feb-2016,0,0.700,0,6.4,0,2.3,1.4, 
18-feb-2016,4,0.000,0,8.7,1,-2.3,-5.9, 
19-feb-2016,0,0.200,0,11.1,0,2.4,0.0, 
20-feb-2016,0,5.100,0,11.9,0,7.7,5.7, 
21-feb-2016,0,1.300,0,12.7,0,7.6,6.4, 
22-feb-2016,0,0.000,0,9.2,0,2.9,0.1, 
23-feb-2016,0,0.000,0,8.1,0,1.9,-0.9, 
24-feb-2016,0,0.000,0,8.2,1,-3.2,-7.0, 
25-feb-2016,0,0.000,0,5.6,1,-1.5,-5.5, 
26-feb-2016,0,0.000,0,9.6,0,1.9,-1.1, 
27-feb-2016,0,0.000,0,6.9,0,5.1,3.0, 
28-feb-2016,0,2.300,0,8.5,0,4.0,0.4, 
29-feb-2016,0,10.400,0,11.7,0,0.7,-3.5, 
01-mar-2016,0,3.600,0,12.4,0,4.0,3.2, 
02-mar-2016,0,0.600,0,9.1,0,2.1,1.1, 
03-mar-2016,0,6.200,0,9.4,0,3.9,1.5, 
04-mar-2016,0,3.800,0,7.4,0,0.9,-1.1, 
05-mar-2016,4,0.000,0,8.3,0,2.2,0.4, 
