Station Name: DUBLIN (Glasnevin)
Station Height: 18 M 
Latitude:53.370  ,Longitude: -6.270


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-jan-2015,0,2.600,0,15.0,0,10.4,8.0, 
02-jan-2015,0,7.700,0,8.0,0,4.6,3.2, 
03-jan-2015,0,1.100,0,5.9,0,4.3,3.0, 
04-jan-2015,4,0.000,0,9.7,1,-1.6,-5.0, 
05-jan-2015,0,1.100,0,11.6,1,-1.1,-4.1, 
06-jan-2015,0,0.300,0,10.0,0,3.3,1.9, 
07-jan-2015,0,5.900,0,12.9,0,4.2,2.2, 
08-jan-2015,0,2.000,0,10.5,0,5.4,1.8, 
09-jan-2015,0,7.200,0,15.4,0,5.4,4.1, 
10-jan-2015,0,0.000,0,6.3,0,5.6,3.5, 
11-jan-2015,0,2.100,0,10.7,0,2.7,0.9, 
12-jan-2015,4,0.000,0,7.7,0,5.1,4.1, 
13-jan-2015,0,0.000,0,5.4,0,2.6,0.4, 
14-jan-2015,0,3.800,0,10.6,0,0.9,-1.1, 
15-jan-2015,0,3.800,0,6.8,0,2.2,1.1, 
16-jan-2015,0,0.000,0,4.8,0,1.6,-0.4, 
17-jan-2015,0,0.000,0,5.2,0,1.6,-0.3, 
18-jan-2015,0,0.000,0,5.8,1,-0.4,-3.2, 
19-jan-2015,0,0.100,0,4.7,1,-3.7,-8.0, 
20-jan-2015,0,1.600,0,5.2,1,-3.6,-6.7, 
21-jan-2015,0,0.100,0,5.4,0,1.8,-0.5, 
22-jan-2015,4,0.000,0,8.7,0,0.7,-3.0, 
23-jan-2015,0,1.200,0,11.3,1,-0.7,-4.3, 
24-jan-2015,4,0.000,0,9.2,0,1.4,-1.6, 
25-jan-2015,0,1.700,0,12.1,0,1.9,0.1, 
26-jan-2015,0,0.000,0,7.9,0,4.4,1.7, 
27-jan-2015,0,0.900,0,10.2,0,5.4,2.6, 
28-jan-2015,0,0.300,0,5.6,0,3.4,1.4, 
29-jan-2015,0,5.400,0,4.8,0,2.2,0.4, 
30-jan-2015,4,0.000,0,7.2,0,1.4,-0.1, 
31-jan-2015,0,0.000,0,5.6,0,2.3,-0.2, 
01-feb-2015,0,0.000,0,5.0,1,-0.2,-2.9, 
02-feb-2015,0,0.000,0,4.9,1,-0.7,-5.2, 
03-feb-2015,0,0.000,0,5.7,1,-4.8,-8.4, 
04-feb-2015,0,0.000,0,5.8,1,-3.1,-8.4, 
05-feb-2015,0,0.000,0,8.2,1,-3.1,-4.0, 
06-feb-2015,0,0.000,0,6.4,0,3.1,-0.6, 
07-feb-2015,0,0.000,0,7.9,0,4.7,2.7, 
08-feb-2015,0,0.000,0,4.5,1,-0.1,-3.5, 
09-feb-2015,0,0.000,0,5.5,0,0.2,-0.5, 
10-feb-2015,0,0.000,0,5.2,0,2.8,2.1, 
11-feb-2015,0,0.000,0,6.7,0,2.9,2.5, 
12-feb-2015,0,0.700,0,8.0,0,4.0,1.6, 
13-feb-2015,0,4.200,0,8.7,0,5.4,5.1, 
14-feb-2015,4,0.000,0,10.5,0,5.6,1.3, 
15-feb-2015,0,8.900,0,10.2,0,0.2,-4.0, 
16-feb-2015,0,0.000,0,8.3,0,5.1,2.9, 
17-feb-2015,0,0.000,0,11.0,0,0.3,-4.2, 
18-feb-2015,0,0.300,0,14.4,0,5.6,5.2, 
19-feb-2015,0,1.800,0,9.4,0,7.9,5.6, 
20-feb-2015,0,0.100,0,7.3,0,2.3,-2.0, 
21-feb-2015,0,2.100,0,7.1,0,1.5,-0.8, 
22-feb-2015,0,4.200,0,11.4,0,1.6,-2.6, 
23-feb-2015,0,3.300,0,6.6,0,1.6,-0.1, 
24-feb-2015,0,1.800,0,9.2,0,1.9,0.6, 
25-feb-2015,0,1.400,0,12.7,0,5.1,3.4, 
26-feb-2015,0,0.000,0,8.7,0,6.4,4.9, 
27-feb-2015,0,0.000,0,9.6,0,2.2,-0.6, 
28-feb-2015,0,0.400,0,12.9,0,5.1,4.2, 
01-mar-2015,0,8.800,0,6.5,0,4.3,2.1, 
02-mar-2015,0,2.100,0,5.7,0,1.1,-0.9, 
03-mar-2015,0,0.000,0,6.6,0,1.4,-0.8, 
04-mar-2015,0,0.000,0,10.1,0,2.1,-0.6, 
05-mar-2015,0,0.000,0,11.7,0,4.6,3.9, 
06-mar-2015,0,0.000,0,13.7,0,9.0,7.0, 
07-mar-2015,0,3.100,0,15.8,0,9.8,8.1, 
08-mar-2015,0,0.900,0,10.3,0,8.4,6.9, 
09-mar-2015,0,0.400,0,15.1,0,0.6,-4.2, 
10-mar-2015,0,0.100,0,11.8,0,2.5,-2.7, 
11-mar-2015,0,2.500,0,13.1,0,5.7,1.6, 
12-mar-2015,0,4.900,0,11.2,0,4.9,-1.8, 
